comuna_cod,year,sexo_out,edad_out,mu,mu_hat_cf,em_count,exp_pop,rate_obs_100k,rate_cf_100k,em_rate_100k,em_pct_vs_cf
1101,2010,F,20-39,16,15.40572234626117,.5942776537388261,338039.9414557659,4.733168492189458,4.557367475546402,.1758010166430555,3.857512425459569
1101,2010,F,40-59,50,63.1469521699213,-13.1469521699213,270923.9581196284,18.4553630277032,23.30799852777816,-4.852635500074957,-20.81961475281394
1101,2010,F,60-79,144,156.9749893052876,-12.97498930528759,112007.9474146633,128.5623059111148,140.146295801808,-11.58398989069324,-8.265641146217003
1101,2010,F,80+,205,167.6113234609176,37.38867653908239,24011.99875452426,853.7398410508187,698.031534877274,155.7083061735447,22.30677245848513
1101,2010,M,20-39,43,43.43696416151207,-.4369641615120705,367499.9177134372,11.70068289199722,11.81958473127676,-.1189018392795394,-1.005973069129101
1101,2010,M,40-59,117,122.4387217515519,-5.43872175155188,281520.0155460226,41.56010000676949,43.49201299739759,-1.931912990628108,-4.441994880171922
1101,2010,M,60-79,230,224.8454771205931,5.154522879406851,96408.00935813961,238.5693901692219,233.2228189520332,5.34657121718867,2.292473455733462
1101,2010,M,80+,147,99.56387742286566,47.43612257713435,13068.00217417143,1124.885028643029,761.8905789566754,362.9944496863538,47.6439084183761
1101,2011,F,20-39,22,15.79511149145603,6.20488850854397,346584.1097126424,6.347665511335905,4.557367475546402,1.790298035789502,39.28360057414188
1101,2011,F,40-59,52,64.22382087820117,-12.22382087820116,275544.1262005405,18.87175049492962,23.30799852777816,-4.436248032848535,-19.03315734107961
1101,2011,F,60-79,158,163.3320245816705,-5.332024581670526,116543.9469143382,135.5711765246227,140.146295801808,-4.575119277185331,-3.264531003841421
1101,2011,F,80+,199,177.244173771149,21.75582622885095,25392.0009218941,783.7113767131815,698.0315348772743,85.67984183590714,12.27449442538024
1101,2011,M,20-39,51,44.38870049031312,6.611299509686876,375552.1154042967,13.58000605191545,11.81958473127676,1.760421320638695,14.89410466325692
1101,2011,M,40-59,118,124.453225825243,-6.453225825242937,286151.9098522522,41.23683817484445,43.49201299739759,-2.255174822553136,-5.185261998997557
1101,2011,M,60-79,247,236.0402049950938,10.95979500490623,101208.0233210971,244.0517973721872,233.222818952033,10.82897842015419,4.643189919757115
1101,2011,M,80+,127,106.6037048876938,20.3962951123062,13991.99672919906,907.6617330460873,761.8905789566755,145.7711540894117,19.13282013396583
1101,2012,F,20-39,14,15.048405440054,-1.048405440054002,355512.0236212717,3.937982141193136,4.232882276883307,-.2949001356901707,-6.966887250814525
1101,2012,F,40-59,46,60.61223196639781,-14.61223196639782,279983.9608029282,16.42951255782039,21.64846578803164,-5.21895323021125,-24.10772791620435
1101,2012,F,60-79,175,158.5444977265748,16.4555022734252,121800.0339621967,143.6781208569408,130.1678600317817,13.51026082515914,10.37910650283448
1101,2012,F,80+,207,172.1709770135075,34.8290229864925,26556.00606619828,779.4846841200236,648.3315924251677,131.1530916948558,20.22932296176726
1101,2012,M,20-39,45,42.13324749011392,2.866752509886075,383796.1151459645,11.7249753773265,10.97802865307532,.7469467242511817,6.804015072796668
1101,2012,M,40-59,132,117.2790538747793,14.72094612522067,290327.9201675317,45.46583047329045,40.39537561771678,5.070454855573672,12.55206760189117
1101,2012,M,60-79,210,231.1652847203949,-21.1652847203949,106715.9739691954,196.784035406563,216.6173217770781,-19.83328637051513,-9.15590969725203
1101,2012,M,80+,152,104.8728353053674,47.12716469463266,14820.00207851503,1025.640881794198,707.6438636766754,317.9970181175226,44.93743738062235
1101,2013,F,20-39,11,15.41361518520919,-4.413615185209188,364139.9447696976,3.020816627782215,4.232882276883307,-1.212065649101091,-28.63452299914992
1101,2013,F,40-59,77,61.40454512054183,15.59545487945817,283643.8652132539,27.14671792464419,21.64846578803163,5.498252136612553,25.39788357497494
1101,2013,F,60-79,176,166.0576855090801,9.942314490919875,127571.9562943845,137.9613553890035,130.1678600317817,7.793495357221798,5.987265485749664
1101,2013,F,80+,214,178.6282832282795,35.37171677172054,27551.99427504331,776.7132856652845,648.3315924251681,128.3816932401164,19.80185675664641
1101,2013,M,20-39,46,42.95130553277201,3.048694467227989,391247.8905831592,11.7572518873997,10.97802865307532,.779223234324376,7.098025145945385
1101,2013,M,40-59,111,118.6266527249196,-7.626652724919586,293663.9427432179,37.7983074677504,40.39537561771677,-2.597068149966368,-6.429122418723929
1101,2013,M,60-79,263,244.2143916348533,18.78560836514674,112740.0106470596,233.280091504816,216.6173217770781,16.66276972773791,7.692260984043391
1101,2013,M,80+,151,110.0527832486324,40.94721675136764,15552.00135232371,970.9361295640466,707.6438636766758,263.2922658873708,37.20688886064723
1101,2014,F,20-39,24,15.81336501999521,8.186634980004788,373583.8604904145,6.424260397249092,4.232882276883306,2.191378120365786,51.77035355633159
1101,2014,F,40-59,58,62.16830995551533,-4.16830995551533,287171.8973724462,20.19696235275319,21.64846578803164,-1.451503435278439,-6.704878994616345
1101,2014,F,60-79,155,174.5863296567739,-19.58632965677392,134123.9916014191,115.5647085576001,130.1678600317817,-14.60315147418165,-11.21870749862229
1101,2014,F,80+,223,183.8409143492636,39.15908565073634,28356.00123411895,786.4296455583395,648.331592425168,138.0980531331715,21.30052811657657
1101,2014,M,20-39,53,43.81812195781905,9.181878042180948,399143.8111754617,13.27842209150562,10.97802865307533,2.3003934384303,20.95452208339683
1101,2014,M,40-59,117,119.8288395761095,-2.828839576109557,296639.9934242832,39.4417484471338,40.39537561771678,-.9536271705829892,-2.36073351466682
